date,steps,distance,runDistance,calories
2022-08-15,9044,6264,298,227
2022-08-16,7885,5359,289,185
2022-08-17,3885,2559,12,89
2022-08-18,14136,9791,290,332
2022-08-19,7314,4748,416,166
2022-08-20,5719,3735,361,129
2022-08-21,4102,2650,321,101
2022-08-22,6334,4306,190,149
2022-08-23,9332,6432,422,230
2022-08-24,2123,1391,80,50
2022-08-25,11036,7694,398,263
2022-08-26,10648,7099,314,245
2022-08-27,3439,2256,162,75
2022-08-28,13249,8743,506,303
2022-08-29,4402,2856,197,101
2022-08-30,5722,3903,127,139
2022-08-31,7814,5304,296,190
2022-09-01,8864,6201,263,220
2022-09-02,7540,4924,456,160
2022-09-03,8058,5342,486,188
2022-09-04,4660,3024,211,108
2022-09-05,1991,1279,154,49
2022-09-06,8853,5866,624,205
2022-09-07,2429,1597,129,62
2022-09-08,7302,5117,291,182
2022-09-09,8675,6057,267,218
2022-09-10,4110,2745,308,109
2022-09-11,2836,1845,322,64
2022-09-12,3824,2547,241,97
2022-09-13,10807,7275,587,252
2022-09-14,5104,3414,246,118
2022-09-15,1541,991,241,41
2022-09-16,6741,4584,177,165
2022-09-17,6267,4172,416,150
2022-09-18,8913,6107,394,222
2022-09-19,6488,4253,449,152
2022-09-20,4487,2960,234,104
2022-09-21,5597,3941,150,133
2022-09-22,8646,5720,272,197
2022-09-23,5639,3713,407,133
2022-09-24,1400,902,139,40
2022-09-25,1946,1279,179,46
2022-09-26,3079,2001,203,76
2022-09-27,11231,7583,411,257
2022-09-28,5850,3954,259,139
2022-09-29,7851,5281,465,186
2022-09-30,7200,4925,514,173
2022-10-01,692,445,66,19
