date,start,stop,distance,calories,steps
2022-08-15,20:28,20:54,498,16,751
2022-08-15,19:55,20:12,501,17,756
2022-08-15,19:47,19:54,550,19,785
2022-08-15,19:39,19:46,222,6,346
2022-08-15,17:56,18:05,425,15,633
2022-08-15,16:48,17:14,561,19,788
2022-08-15,16:37,16:47,838,30,1123
2022-08-15,15:51,16:12,322,11,485
2022-08-15,14:49,14:53,261,8,359
2022-08-15,14:27,14:33,201,5,314
2022-08-15,13:41,13:46,151,5,236
2022-08-15,12:38,12:44,593,21,762
2022-08-15,12:09,12:21,295,10,419
2022-08-16,22:47,23:05,114,4,178
2022-08-16,21:36,22:00,455,14,669
2022-08-16,21:18,21:35,309,8,481
2022-08-16,20:58,21:07,188,5,294
2022-08-16,20:19,20:24,142,4,222
2022-08-16,19:16,19:29,445,14,656
2022-08-16,17:21,17:28,165,5,258
2022-08-16,17:00,17:16,169,6,263
2022-08-16,14:56,15:01,192,5,300
2022-08-16,14:09,14:14,531,19,668
2022-08-16,13:42,13:49,316,10,438
2022-08-16,12:55,13:10,189,6,295
2022-08-16,12:21,12:30,71,2,111
2022-08-17,01:34,02:25,2160,74,3283
2022-08-17,00:43,01:07,50,2,78
2022-08-18,23:41,23:45,161,4,252
2022-08-18,23:21,23:35,1151,41,1537
2022-08-18,23:15,23:20,114,3,178
2022-08-18,22:52,23:00,128,3,200
2022-08-18,22:27,22:32,158,3,247
2022-08-18,22:11,22:26,87,3,136
2022-08-18,21:15,21:30,80,2,125
2022-08-18,20:46,20:55,124,3,193
2022-08-18,19:17,19:26,259,8,386
2022-08-18,19:12,19:16,402,14,531
2022-08-18,18:56,19:11,151,5,236
2022-08-18,18:50,18:55,430,15,601
2022-08-18,18:41,18:49,473,14,692
2022-08-18,17:34,17:54,145,4,226
2022-08-18,16:58,17:11,498,17,714
2022-08-18,16:06,16:34,793,27,1101
2022-08-18,15:58,16:03,68,2,106
2022-08-18,15:33,15:44,293,7,457
2022-08-18,15:13,15:29,181,6,243
2022-08-18,14:40,15:11,1041,34,1540
2022-08-18,14:26,14:39,646,23,911
2022-08-18,13:38,13:42,358,12,489
2022-08-18,13:11,13:21,335,10,466
2022-08-18,12:20,12:32,73,3,114
2022-08-18,12:11,12:15,199,5,310
2022-08-19,23:42,23:56,349,11,538
2022-08-19,23:30,23:36,62,2,98
2022-08-19,22:32,22:59,190,8,296
2022-08-19,22:21,22:30,233,5,364
2022-08-19,22:05,22:18,105,3,164
2022-08-19,21:52,21:57,115,3,180
2022-08-19,21:00,21:18,147,5,229
2022-08-19,20:50,20:58,246,6,384
2022-08-19,20:33,20:42,299,10,465
2022-08-19,20:08,20:12,68,2,107
2022-08-19,19:42,20:00,165,5,258
2022-08-19,19:19,19:30,124,3,194
2022-08-19,18:55,19:02,233,8,350
2022-08-19,18:26,18:42,501,16,777
2022-08-19,18:11,18:25,199,7,310
2022-08-19,17:46,17:51,131,4,204
2022-08-19,16:40,16:56,203,5,316
2022-08-19,14:34,14:41,183,5,285
2022-08-19,13:18,13:23,137,4,214
2022-08-20,17:51,17:57,206,6,295
2022-08-20,16:37,16:48,292,9,440
2022-08-20,16:32,16:36,148,4,214
2022-08-20,16:12,16:18,184,5,287
2022-08-20,15:47,16:11,203,6,317
2022-08-20,15:19,15:45,514,17,800
2022-08-20,14:27,15:12,537,18,810
2022-08-20,14:11,14:15,184,6,287
2022-08-20,13:01,13:17,305,10,475
2022-08-20,10:28,10:45,516,16,800
2022-08-20,10:11,10:21,51,2,80
2022-08-21,22:21,22:27,120,3,187
2022-08-21,21:24,21:42,88,4,138
2022-08-21,20:10,20:24,61,3,96
2022-08-21,19:35,19:50,303,8,473
2022-08-21,19:00,19:13,381,10,593
2022-08-21,17:30,17:43,331,12,512
2022-08-21,15:14,15:35,199,7,311
2022-08-21,11:48,12:04,91,3,142
2022-08-22,18:47,18:58,139,3,217
2022-08-22,16:53,17:07,125,3,196
2022-08-22,16:47,16:51,268,7,370
